Vertex 	Distance from 0(source node)
0 		0
1 		7
2 		10
3 		4
4 		11
5 		6
6 		8
7 		9
8 		7
9 		7
10 		8
11 		10
12 		5
13 		5
14 		11
15 		11
16 		12
17 		11
18 		11
19 		7
20 		4
21 		11
22 		11
23 		9
24 		10
25 		6
26 		8
27 		3
28 		8
29 		11
30 		9
31 		7
32 		7
33 		8
34 		9
35 		10
36 		11
37 		10
38 		8
39 		12
40 		5
41 		8
42 		9
43 		11
44 		6
45 		5
46 		8
47 		10
48 		10
49 		9
50 		7
51 		8
52 		8
53 		10
54 		9
55 		6
56 		7
57 		6
58 		9
59 		8
60 		8
61 		11
62 		6
63 		8
64 		4
65 		8
66 		8
67 		14
68 		14
69 		7
70 		10
71 		9
72 		5
73 		6
74 		9
75 		7
76 		12
77 		13
78 		2
79 		7
80 		9
81 		8
82 		7
83 		8
84 		10
85 		10
86 		5
87 		5
88 		9
89 		13
90 		11
91 		9
92 		9
93 		6
94 		11
95 		8
96 		7
97 		3
98 		6
99 		6
